ingredient,matched_pattern,frequency,length
all-natural coconut and beeswax blend. paraffin-free. 100% braided cotton wick,-free,15,78
and cruelty-free,"-free, cruelty-free",13,16
may contain (+/-) red 40 lake/ci 16035,may contain,8,38
collagen (vegan)*,vegan,6,17
potassium sorbate. may contain (peut contenir,may contain,5,45
phthalate-free fragrance,-free,5,24
collagen amino acids (vegan)*,vegan,5,29
paraffin-free 100% vegetable-wax blend containing soy,-free,5,53
may contain,may contain,4,11
tin oxide. may contain (peut contenir,may contain,4,37
phenoxyethanol. may contain (+/-) mica,may contain,3,38
minoxidil 5% w/w (without propellant),without,3,37
may contain / peut contenir ci 77491,may contain,3,36
may contain ci 77499/iron oxides,may contain,3,32
cruelty-free,"-free, cruelty-free",3,12
all-natural coconut-beeswax blend. paraffin-free. 100% braided cotton wick,-free,3,74
all voluspa candles are vegan and contain a clean-burning coconut wax blend,vegan,3,75
vegan bristles,vegan,3,14
may contain ci 77891 / titanium dioxide,may contain,2,39
may contain ci 77491,may contain,2,20
talc (asbestos-free)*,-free,2,21
made from 100% highest grade (6a) long fiber mulberry silk with a thickness of 22 momme,made from,2,87
lycopene. may contain (+/-) iron oxides (ci 77491,may contain,2,49
wheat germ glycerides. may contain (+/-) mica,may contain,2,45
may contain / peut contenir ci 77499 / iron oxides,may contain,2,50
zinc oxide 6.3% may contain titanium dioxide,may contain,2,44
collagen (vegan),vegan,2,16
patented and proven technology to repair broken bonds for stronger hair,patent,1,71
premium vegan fibers,vegan,1,20
aluminum hydroxide; may containci 77891/titanium dioxide,may contain,1,56
aqua (water). may contain (+/-) ci 77491 (iron oxides),may contain,1,54
phthalate and cruelty-free,"-free, cruelty-free",1,26
phenoxyethanol. may contain (+/-) red 40 lake/ci 16035,may contain,1,54
aqua/water paraffin potassium cetyl phosphate copernicia cerifera cera/carnauba wax ethylene/acrylic acid copolymer styrene/acrylates/ammonium methacrylate copolymer cera alba/beeswax synthetic beeswax bis-diglyceryl polyacyladipate-2 polybutene cetyl alcohol steareth-20 glyceryl dibehenate steareth-2 c12-13 pareth-23 c12-13 pareth-3 tribehenin acacia senegal gum glyceryl behenate sodium laureth sulfate silica divinyldimethicone/dimethicone copolymer disodium edta hydrogenated jojoba oil hydrogenated palm oil hydroxyethylcellulose caprylyl glycol tetrasodium edta ethylenediamine/stearyl dimer dilinoleate copolymer butylene glycol bht pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate potassium sorbate sodium dehydroacetate phenoxyethanol may contain ci 75470/carmine ci 77007 /ultramarines ci 77491,may contain,1,812
pentaerythrityl tetra di t butyl hydroxyhydrocinnamate. may contain (peut contenir,may contain,1,82
coumarin may contain/peut contenir titanium dioxide (ci 77891),may contain,1,62
silica may contain ci 42090 (blue 1 lake),may contain,1,41
parfum/fragrance. may contain ci 77499/iron oxides,may contain,1,50
bht. may contain iron,may contain,1,21
paraffin-free 100% vegetable wax blend containing soy and coconut,-free,1,65
palmitoyl tetrapeptide-7 may contain / peut contenir mica,may contain,1,57
broad spectrum hemp extract,broad spectrum,1,27
mentha piperita oil (terpene-free),-free,1,34
may contain/peut contenir ci 77891/titanium dioxide,may contain,1,51
sh-polypeptide-123 (vegan collagen),vegan,1,35
sodium salicylate. may contain (+/-) iron oxides/ci 77491,may contain,1,57
may contain/peut contenir ci 77499 /iron oxides,may contain,1,47
tin oxide. may contain/peut contenir (+/-) titanium dioxide (ci 77891),may contain,1,70
100% cruelty-free synthetic bristles,"-free, cruelty-free",1,36
vegan mink fiber,vegan,1,16
100% vegan and cruelty free,vegan,1,27
